物件名,住所,築年数,築年数2,築年数_値,家賃,間取り,面積,家賃/平米,アクセス2,minute2,アクセス3,minute3,アクセス4,minute4,アクセス5,minute5,アクセス6,minute6,アクセス7,minute7,アクセス8,minute8,アクセス9,minute9,min_minute,築年数フラグ,家賃フラグ,アクセスフラグ,ターゲットフラグ,駅名,サブターゲットフラグ,詳細リンク,仲介業者
都営大江戸線 上野御徒町駅 地下1地上4階建 築4年,東京都台東区台東３,"築4年
地下1地上4階建","築4年
地下1地上4階建",4,8.2,ワンルーム,18.71,0.4382683057188669,都営大江戸線/上野御徒町駅 歩4分,4.0,東京メトロ日比谷線/仲御徒町駅 歩4分,4.0,ＪＲ山手線/御徒町駅 歩7分,7.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,上野御徒町,0,,
東京メトロ日比谷線 三ノ輪駅 13階建 築6年,東京都台東区竜泉２,"築6年
13階建","築6年
13階建",6,14.0,1LDK,35.13,0.3985197836606888,東京メトロ日比谷線/三ノ輪駅 歩4分,4.0,都電荒川線/三ノ輪橋駅 歩11分,11.0,東京メトロ日比谷線/入谷駅 歩13分,13.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,三ノ輪,0,,
東京メトロ日比谷線 入谷駅 11階建 築5年,東京都台東区根岸３,"築5年
11階建","築5年
11階建",5,11.9,1DK,25.56,0.4655712050078248,東京メトロ日比谷線/入谷駅 歩8分,8.0,ＪＲ山手線/鶯谷駅 歩9分,9.0,東京メトロ日比谷線/三ノ輪駅 歩15分,15.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,入谷,0,,
京成本線 お花茶屋駅 3階建 築47年,東京都葛飾区宝町２,"築47年
3階建","築47年
3階建",47,7.2,2K,34.02,0.2116402116402116,京成本線/お花茶屋駅 歩3分,3.0,京成本線/堀切菖蒲園駅 歩14分,14.0,京成押上線/京成立石駅 歩21分,21.0,,0,,0,,0,,0,,0,3.0,1,1,0,0,お花茶屋,1,,
パークアクシス台東根岸,東京都台東区根岸５,"築15年
14階建","築15年
14階建",15,9.9,ワンルーム,25.28,0.3916139240506329,東京メトロ日比谷線/入谷駅 歩8分,8.0,東京メトロ日比谷線/三ノ輪駅 歩8分,8.0,ＪＲ山手線/鶯谷駅 歩12分,12.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,入谷,0,,
SPERO CASA,東京都台東区三ノ輪１,"築5年
6階建","築5年
6階建",5,9.9,1K,30.34,0.3263019116677653,東京メトロ日比谷線/三ノ輪駅 歩2分,2.0,都電荒川線/三ノ輪橋駅 歩8分,8.0,ＪＲ常磐線/南千住駅 歩15分,15.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,三ノ輪,0,,
都営大江戸線 新御徒町駅 11階建 築15年,東京都台東区台東１,"築15年
11階建","築15年
11階建",15,14.6,1LDK,48.5,0.3010309278350515,都営大江戸線/新御徒町駅 歩9分,9.0,東京メトロ日比谷線/仲御徒町駅 歩9分,9.0,ＪＲ山手線/秋葉原駅 歩10分,10.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,新御徒町,0,,
ＪＲ総武線 新小岩駅 3階建 築10年,東京都江戸川区本一色１,"築10年
3階建","築10年
3階建",10,10.0,1LDK,40.25,0.2484472049689441,ＪＲ総武線/新小岩駅 歩12分,12.0,ＪＲ総武線快速/新小岩駅 歩12分,12.0,ＪＲ総武線/小岩駅 歩31分,31.0,,0,,0,,0,,0,,0,12.0,0,1,1,0,新小岩,1,,
ＪＲ総武線快速 新小岩駅 3階建 築3年,東京都葛飾区西新小岩４,"築3年
3階建","築3年
3階建",3,4.9,ワンルーム,13.35,0.3670411985018727,ＪＲ総武線快速/新小岩駅 歩10分,10.0,ＪＲ総武線/新小岩駅 歩10分,10.0,京成押上線/京成立石駅 歩30分,30.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,新小岩,0,,
コ－ポ中谷,東京都江戸川区西小岩４,"築37年
2階建","築37年
2階建",37,6.7,2K,31.46,0.2129688493324857,ＪＲ総武線/小岩駅 歩8分,8.0,京成本線/京成小岩駅 歩8分,8.0,京成本線/江戸川駅 歩18分,18.0,,0,,0,,0,,0,,0,8.0,1,1,1,1,小岩,0,,
