物件名,住所,築年数,築年数2,築年数_値,家賃,間取り,面積,家賃/平米,アクセス2,minute2,アクセス3,minute3,アクセス4,minute4,アクセス5,minute5,アクセス6,minute6,アクセス7,minute7,アクセス8,minute8,アクセス9,minute9,min_minute,築年数フラグ,家賃フラグ,アクセスフラグ,ターゲットフラグ,駅名,サブターゲットフラグ,詳細リンク,仲介業者
錦糸町パークタウンII,東京都墨田区錦糸１,"築26年
10階建","築26年
10階建",26,9.9,1DK,31.2,0.3173076923076923,ＪＲ総武線/錦糸町駅 歩5分,5.0,都営大江戸線/両国駅 歩13分,13.0,東武伊勢崎線/とうきょうスカイツリー駅 歩18分,18.0,,0,,0,,0,,0,,0,5.0,1,0,0,0,錦糸町,0,https://suumo.jp/chintai/jnc_000082437506/?bc=100349836275,(株)ヴィックスリアルエステートリアルティ錦糸町店
エレガンスマンション,東京都足立区足立３,"築44年
3階建","築44年
3階建",44,5.7,2DK,32.4,0.1759259259259259,東武伊勢崎線/五反野駅 歩4分,4.0,東武伊勢崎線/小菅駅 歩11分,11.0,つくばエクスプレス/青井駅 歩20分,20.0,,0,,0,,0,,0,,0,4.0,1,1,0,0,五反野,1,https://suumo.jp/chintai/jnc_000084993400/?bc=100309190819,サークルプレイス不動産(株)
第二日東ハイツ,東京都足立区青井２,"築44年
3階建","築44年
3階建",44,8.0,1LDK,41.31,0.1936577099975792,東武伊勢崎線/五反野駅 歩10分,10.0,つくばエクスプレス/青井駅 歩7分,7.0,東京メトロ千代田線/綾瀬駅 歩25分,25.0,,0,,0,,0,,0,,0,7.0,1,1,0,0,五反野,1,https://suumo.jp/chintai/jnc_000078682475/?bc=100349758111,シャーメゾンショップ (株)ハウスパートナー北千住店
ザ・プレミアムキューブG潮見,東京都江東区潮見２,"築5年
10階建","築5年
10階建",5,8.4,1K,25.62,0.3278688524590163,ＪＲ京葉線/潮見駅 歩5分,5.0,東京メトロ有楽町線/辰巳駅 歩26分,26.0,,0.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,潮見,0,https://suumo.jp/chintai/jnc_000085473299/?bc=100347575909,(株)グッドリビング北千住店
パークアクシス東陽町,東京都江東区塩浜２,"築17年
15階建","築17年
15階建",17,14.4,1LDK,38.75,0.3716129032258065,東京メトロ東西線/東陽町駅 歩9分,9.0,ＪＲ京葉線/潮見駅 歩15分,15.0,東京メトロ東西線/木場駅 歩21分,21.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,東陽町,0,https://suumo.jp/chintai/jnc_000084863378/?bc=100343402776,フォーディールーム 新橋本店(株)Four D
パークアクシス錦糸公園,東京都墨田区錦糸４,"新築
14階建",築１年,1,14.3,1DK,29.26,0.4887218045112781,東京メトロ半蔵門線/錦糸町駅 歩5分,5.0,ＪＲ総武線/亀戸駅 歩9分,9.0,都営新宿線/住吉駅 歩17分,17.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,錦糸町,0,https://suumo.jp/chintai/jnc_000085054606/?bc=100330149291,アイレントホーム(株)門前仲町店
東京メトロ半蔵門線 錦糸町駅 14階建 新築,東京都墨田区錦糸４,"新築
14階建",築１年,1,14.3,1DK,29.26,0.4887218045112781,東京メトロ半蔵門線/錦糸町駅 歩5分,5.0,ＪＲ総武線/錦糸町駅 歩6分,6.0,ＪＲ総武線/亀戸駅 歩12分,12.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,錦糸町,0,https://suumo.jp/chintai/jnc_000085058153/?bc=100335291221,アパマンショップ門前仲町駅前店(株)アップル東京
都営大江戸線 両国駅 13階建 築2年,東京都墨田区緑３,"築2年
13階建","築2年
13階建",2,11.5,1DK,25.16,0.4570747217806041,都営大江戸線/両国駅 歩8分,8.0,ＪＲ総武線/錦糸町駅 歩13分,13.0,都営新宿線/菊川駅 歩11分,11.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,両国,0,https://suumo.jp/chintai/jnc_000085401331/?bc=100346507105,(株)アブレイズ・コーポレーション池袋駅前支店
東京メトロ半蔵門線 押上駅 6階建 築33年,東京都墨田区向島２,"築33年
6階建","築33年
6階建",33,8.4,1DK,32.18,0.2610316967060286,東京メトロ半蔵門線/押上駅 歩10分,10.0,都営浅草線/本所吾妻橋駅 歩12分,12.0,東武伊勢崎線/曳舟駅 歩12分,12.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,押上,0,,ホームメイトFC小岩駅北口店(株)コーユー
ＪＲ総武線 小岩駅 3階建 築29年,東京都葛飾区奥戸９,"築29年
3階建","築29年
3階建",29,7.5,2DK,46.41,0.1616031027795733,ＪＲ総武線/小岩駅 歩21分,21.0,京成本線/青砥駅 歩25分,25.0,京成本線/京成高砂駅 歩23分,23.0,,0,,0,,0,,0,,0,21.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000050896348/?bc=100349906005,(株)ヴィックスリアルエステート大島本店
柳コーポ,東京都足立区綾瀬６,"築47年
3階建","築47年
3階建",47,7.0,2DK,41.0,0.1707317073170731,東京メトロ千代田線/綾瀬駅 歩11分,11.0,つくばエクスプレス/青井駅 歩12分,12.0,東京メトロ千代田線/北綾瀬駅 歩14分,14.0,,0,,0,,0,,0,,0,11.0,1,1,1,1,綾瀬,0,https://suumo.jp/chintai/jnc_000064048410/?bc=100337506805,(株)ハウスパートナー青戸店
ＲＳＡ,東京都足立区辰沼２,"築11年
3階建","築11年
3階建",11,9.6,2DK,48.9,0.1963190184049079,東京メトロ千代田線/北綾瀬駅 歩22分,22.0,つくばエクスプレス/六町駅 歩28分,28.0,東武バス/六ツ木団地 歩5分,5.0,,0,,0,,0,,0,,0,5.0,0,1,0,0,北綾瀬,0,https://suumo.jp/chintai/jnc_000069532573/?bc=100349846454,ハウスコム東東京(株)綾瀬店
嶋村マンション,東京都江戸川区東小岩６,"築52年
3階建","築52年
3階建",52,5.9,1DK,24.8,0.2379032258064516,ＪＲ総武線/小岩駅 歩6分,6.0,京成本線/京成小岩駅 歩13分,13.0,都営新宿線/篠崎駅 バス17分 (バス停)小岩警察・区民館 歩5分,17.0,,0,,0,,0,,0,,0,6.0,1,1,0,0,小岩,1,https://suumo.jp/chintai/jnc_000080517977/?bc=100349803561,借りROOM北千住店(株)ロダン
太陽パレス西綾瀬,東京都足立区西綾瀬２,"築27年
5階建","築27年
5階建",27,6.7,1DK,24.0,0.2791666666666667,東武伊勢崎線/五反野駅 歩2分,2.0,つくばエクスプレス/青井駅 歩15分,15.0,東京メトロ千代田線/綾瀬駅 歩15分,15.0,,0,,0,,0,,0,,0,2.0,1,1,0,0,五反野,1,https://suumo.jp/chintai/jnc_000065977151/?bc=100349841319,アエラス市川店 (株)アエラス
パークアクシス豊洲キャナル,東京都江東区豊洲６,"築8年
地下1地上19階建","築8年
地下1地上19階建",8,13.5,1K,29.47,0.4580929759077027,東京メトロ有楽町線/豊洲駅 歩9分,9.0,新交通ゆりかもめ/新豊洲駅 歩5分,5.0,新交通ゆりかもめ/市場前駅 歩9分,9.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,豊洲,0,https://suumo.jp/chintai/jnc_000084003525/?bc=100345243971,(株)ルーミーズ北千住店
東京メトロ千代田線 町屋駅 3階建 築35年,東京都荒川区町屋２,"築35年
3階建","築35年
3階建",35,7.0,2K,32.8,0.2134146341463415,東京メトロ千代田線/町屋駅 歩7分,7.0,京成本線/町屋駅 歩8分,8.0,都電荒川線/町屋二丁目駅 歩3分,3.0,,0,,0,,0,,0,,0,3.0,1,1,0,0,町屋,1,https://suumo.jp/chintai/jnc_000085774026/?bc=100132675221,(株)LiPro西新宿五丁目店
東京メトロ東西線 門前仲町駅 7階建 築11年,東京都江東区木場３,"築11年
7階建","築11年
7階建",11,11.4,1DK,33.5,0.3402985074626866,東京メトロ東西線/門前仲町駅 歩14分,14.0,東京メトロ東西線/木場駅 歩10分,10.0,都営大江戸線/清澄白河駅 歩17分,17.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,門前仲町,0,https://suumo.jp/chintai/jnc_000085834612/?bc=100349175552,(株)エムハウス
日の出ハイツ,東京都足立区梅島２,"築41年
2階建","築41年
2階建",41,5.1,1DK,30.69,0.1661779081133919,東武伊勢崎線/梅島駅 歩8分,8.0,東武伊勢崎線/西新井駅 歩15分,15.0,東武伊勢崎線/五反野駅 歩19分,19.0,,0,,0,,0,,0,,0,8.0,1,1,1,1,梅島,0,https://suumo.jp/chintai/jnc_000085122729/?bc=100344932537,(株)CLCコーポレーション東陽町店
東京メトロ日比谷線 三ノ輪駅 6階建 築34年,東京都荒川区荒川１,"築34年
6階建","築34年
6階建",34,8.0,2K,37.45,0.2136181575433911,東京メトロ日比谷線/三ノ輪駅 歩10分,10.0,ＪＲ常磐線/三河島駅 歩8分,8.0,つくばエクスプレス/南千住駅 歩19分,19.0,,0,,0,,0,,0,,0,8.0,1,1,1,1,三ノ輪,0,https://suumo.jp/chintai/jnc_000037550981/?bc=100349872930,スマイスター日暮里店(株)パーソネット
日暮里サンライズマンションン,東京都荒川区東日暮里５,"築28年
8階建","築28年
8階建",28,8.7,1DK,28.14,0.3091684434968016,ＪＲ山手線/日暮里駅 歩7分,7.0,ＪＲ常磐線/三河島駅 歩11分,11.0,ＪＲ山手線/西日暮里駅 歩15分,15.0,,0,,0,,0,,0,,0,7.0,1,0,0,0,日暮里,0,,ホームメイトFC小岩駅北口店(株)コーユー
カミーリャ・青砥二番館,東京都葛飾区青戸３,"築25年
2階建","築25年
2階建",25,8.0,2K,33.16,0.241254523522316,京成本線/青砥駅 歩7分,7.0,京成押上線/京成立石駅 歩13分,13.0,ＪＲ常磐線/亀有駅 歩32分,32.0,,0,,0,,0,,0,,0,7.0,1,1,0,0,青砥,1,https://suumo.jp/chintai/jnc_000085122779/?bc=100344653242,ソレイユ上野店(株)ソレイユ
サンリット亀有,東京都葛飾区亀有３,"築17年
9階建","築17年
9階建",17,9.5,2K,34.52,0.2752027809965237,ＪＲ常磐線/亀有駅 歩4分,4.0,京成本線/お花茶屋駅 歩26分,26.0,成田スカイアクセス/青砥駅 歩31分,31.0,,0,,0,,0,,0,,0,4.0,0,1,0,0,亀有,0,https://suumo.jp/chintai/jnc_000085235710/?bc=100345546653,(株)ミニミニ城北青砥店
クリーンマンション,東京都荒川区荒川１,"築34年
6階建","築34年
6階建",34,8.0,2K,37.45,0.2136181575433911,東京メトロ日比谷線/三ノ輪駅 歩14分,14.0,ＪＲ常磐線/三河島駅 歩13分,13.0,都電荒川線/荒川区役所前駅 歩3分,3.0,,0,,0,,0,,0,,0,3.0,1,1,0,0,三ノ輪,1,https://suumo.jp/chintai/jnc_000044362614/?bc=100349892661,ハウスコム東東京(株)綾瀬店
セピアコート,東京都葛飾区東新小岩５,"築15年
2階建","築15年
2階建",15,6.9,ワンルーム,26.78,0.2576549663928305,ＪＲ総武線/新小岩駅 歩7分,7.0,京成押上線/四ツ木駅 バス11分 (バス停)中関橋 歩2分,11.0,京成押上線/京成立石駅 バス13分 (バス停)中関橋 歩2分,13.0,,0,,0,,0,,0,,0,7.0,0,1,0,0,新小岩,0,https://suumo.jp/chintai/jnc_000085923660/?bc=100349892341,ハウス・トゥ・ハウス 日暮里店(株)せとや不動産
MON CHATON,東京都荒川区町屋６,"築7年
8階建","築7年
8階建",7,12.2,1LDK,43.53,0.2802664828853664,東京メトロ千代田線/町屋駅 歩11分,11.0,都電荒川線/町屋駅前駅 歩11分,11.0,日暮里・舎人ライナー/足立小台駅 歩22分,22.0,,0,,0,,0,,0,,0,11.0,0,1,1,0,町屋,1,,ホームメイトFC小岩駅北口店(株)コーユー
東京メトロ千代田線 町屋駅 8階建 築7年,東京都荒川区町屋６,"築7年
8階建","築7年
8階建",7,12.2,1LDK,43.53,0.2802664828853664,東京メトロ千代田線/町屋駅 歩11分,11.0,都電荒川線/町屋駅前駅 歩11分,11.0,京成本線/町屋駅 歩12分,12.0,,0,,0,,0,,0,,0,11.0,0,1,1,0,町屋,1,https://suumo.jp/chintai/jnc_000085911810/?bc=100349829387,(株)INTER LIVING日暮里店
PRINCE HOMES南千住,東京都荒川区南千住１,"築6年
3階建","築6年
3階建",6,7.3,ワンルーム,15.52,0.470360824742268,東京メトロ日比谷線/三ノ輪駅 歩5分,5.0,ＪＲ常磐線/南千住駅 歩13分,13.0,京成本線/千住大橋駅 歩20分,20.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,三ノ輪,0,https://suumo.jp/chintai/jnc_000068739913/?bc=100349741829,トラスト・レジデンス秋葉原店(株)瑞鳳
NH Garande,東京都江戸川区松島３,"新築
3階建",築１年,1,7.9,1K,21.12,0.3740530303030303,ＪＲ総武線/新小岩駅 歩7分,7.0,都営新宿線/船堀駅 バス22分 (バス停)新小岩一丁目 歩4分,22.0,都営新宿線/一之江駅 バス23分 (バス停)一之江駅前 歩4分,23.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,新小岩,0,https://suumo.jp/chintai/jnc_000084909836/?bc=100347938354,アエラス北千住店 (株)アエラス.ER
ＪＲ総武線 新小岩駅 3階建 新築,東京都江戸川区松島３,"新築
3階建",築１年,1,7.9,1K,21.12,0.3740530303030303,ＪＲ総武線/新小岩駅 歩7分,7.0,,0.0,,0.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,新小岩,0,https://suumo.jp/chintai/jnc_000085154826/?bc=100349787401,ホームメイトFC小岩駅前店(株)コーユー
THE Grande regalo 東日暮里,東京都荒川区東日暮里４,"築11年
7階建","築11年
7階建",11,15.85,1LDK,50.52,0.3137371338083927,ＪＲ山手線/鶯谷駅 歩8分,8.0,東京メトロ千代田線/西日暮里駅 歩14分,14.0,東京メトロ日比谷線/入谷駅 歩12分,12.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,鶯谷,0,https://suumo.jp/chintai/jnc_000085917952/?bc=100349855341,ホームメイトFC小岩駅北口店(株)コーユー
エリーコート,東京都葛飾区東金町６,"築26年
3階建","築26年
3階建",26,7.8,2K,44.1,0.1768707482993197,ＪＲ常磐線/金町駅 歩10分,10.0,京成金町線/京成金町駅 歩11分,11.0,北総線/新柴又駅 歩29分,29.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,金町,0,https://suumo.jp/chintai/jnc_000083198896/?bc=100341905764,(株)タウンハウジング東京 日暮里店
グランエクリュMK田端,東京都荒川区東尾久４,"築34年
5階建","築34年
5階建",34,6.2,2K,28.0,0.2214285714285714,ＪＲ山手線/田端駅 歩11分,11.0,日暮里・舎人ライナー/赤土小学校前駅 歩4分,4.0,日暮里・舎人ライナー/熊野前駅 歩8分,8.0,,0,,0,,0,,0,,0,4.0,1,1,0,0,田端,1,https://suumo.jp/chintai/jnc_000084085299/?bc=100340683000,ハウスコム東東京(株)亀有店
行平ビル,東京都江東区富岡２,"築43年
6階建","築43年
6階建",43,10.0,1DK,30.0,0.3333333333333333,東京メトロ東西線/門前仲町駅 歩7分,7.0,都営大江戸線/門前仲町駅 歩7分,7.0,東京メトロ東西線/木場駅 歩8分,8.0,,0,,0,,0,,0,,0,7.0,1,0,0,0,門前仲町,0,https://suumo.jp/chintai/jnc_000031448720/?bc=100349498224,ハウスコム東東京(株)日暮里店
ＣＯＲＤＥＡ町屋,東京都荒川区町屋５,"築7年
3階建","築7年
3階建",7,5.6,ワンルーム,12.45,0.4497991967871486,東京メトロ千代田線/町屋駅 歩10分,10.0,京成本線/町屋駅 歩10分,10.0,都電荒川線/町屋駅前駅 歩10分,10.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,町屋,0,https://suumo.jp/chintai/jnc_000057267778/?bc=100283901872,ソレイユ神田店(株)ソレイユ
クレイシアIDZ（アイズ）台東竜泉,東京都台東区竜泉３,"新築
13階建",築１年,1,9.1,2K,25.37,0.3586913677571935,東京メトロ日比谷線/三ノ輪駅 歩4分,4.0,東京メトロ日比谷線/入谷駅 歩11分,11.0,つくばエクスプレス/浅草駅 歩15分,15.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,三ノ輪,0,,ホームメイトFC小岩駅北口店(株)コーユー
アーバハイツ六町１号館,東京都足立区西加平１,"築3年
6階建","築3年
6階建",3,7.75,2K,25.37,0.3054789121009065,つくばエクスプレス/六町駅 歩8分,8.0,東京メトロ千代田線/北綾瀬駅 歩15分,15.0,東武伊勢崎線/五反野駅 歩25分,25.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,六町,0,https://suumo.jp/chintai/jnc_000085918118/?bc=100349879645,ROOMPIA(株)アンビション・エージェンシー上野御徒町店
フェリーチェ錦糸町（フェリーチェキンシチョウ）,東京都墨田区江東橋２,"築2年
15階建","築2年
15階建",2,9.7,2K,25.6,0.3789062499999999,ＪＲ総武線/錦糸町駅 歩7分,7.0,東京メトロ半蔵門線/住吉駅 歩8分,8.0,東京メトロ半蔵門線/錦糸町駅 歩7分,7.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,錦糸町,0,,ホームメイトFC小岩駅北口店(株)コーユー
ＪＲ総武線 錦糸町駅 15階建 築2年,東京都墨田区江東橋２,"築2年
15階建","築2年
15階建",2,9.7,2K,25.6,0.3789062499999999,ＪＲ総武線/錦糸町駅 歩7分,7.0,東京メトロ半蔵門線/住吉駅 歩8分,8.0,都営新宿線/菊川駅 歩16分,16.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,錦糸町,0,https://suumo.jp/chintai/jnc_000085809574/?bc=100349161317,賃貸住宅サービス FC錦糸町ギャラリー(株)CJS TOKYO
ＪＲ総武線 小岩駅 平屋 築16年,東京都江戸川区北小岩１,"築16年
平屋","築16年
平屋",16,10.0,2K,31.44,0.3180661577608142,ＪＲ総武線/小岩駅 歩9分,9.0,京成本線/江戸川駅 歩12分,12.0,京成本線/京成小岩駅 歩13分,13.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,小岩,0,https://suumo.jp/chintai/jnc_000083086555/?bc=100344877043,(株)AX8小川町店
k1 apartments（ケイワンアパートメント）,東京都足立区梅田６,"新築
3階建",築１年,1,6.7,1K,22.28,0.3007181328545781,東武伊勢崎線/梅島駅 歩8分,8.0,東武伊勢崎線/西新井駅 歩15分,15.0,東武伊勢崎線/五反野駅 歩24分,24.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,梅島,0,,ホームメイトFC小岩駅北口店(株)コーユー
ストリームハイツ,東京都葛飾区東立石３,"築35年
3階建","築35年
3階建",35,7.3,2K,40.07,0.1821811829298727,京成押上線/京成立石駅 歩7分,7.0,京成押上線/四ツ木駅 歩17分,17.0,京成押上線/青砥駅 歩20分,20.0,,0,,0,,0,,0,,0,7.0,1,1,0,0,京成立石,1,https://suumo.jp/chintai/jnc_000085682211/?bc=100348257456,(株)SUNSアキバエステート市ヶ谷店
東京メトロ東西線 西葛西駅 12階建 築50年,東京都江戸川区北葛西２,"築50年
12階建","築50年
12階建",50,7.25,2DK,42.83,0.169273873453187,東京メトロ東西線/西葛西駅 歩21分,21.0,都営新宿線/船堀駅 歩19分,19.0,,0.0,,0,,0,,0,,0,,0,19.0,1,1,1,1,西葛西,0,https://suumo.jp/chintai/jnc_000085923674/?bc=100349888711,(株)タウンハウジング東京 青砥店
京成押上線 京成曳舟駅 5階建 築6年,東京都墨田区八広１,"築6年
5階建","築6年
5階建",6,9.6,1LDK,30.21,0.3177755710029791,京成押上線/京成曳舟駅 歩9分,9.0,東武伊勢崎線/曳舟駅 歩14分,14.0,東武伊勢崎線/東向島駅 歩13分,13.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,京成曳舟,0,https://suumo.jp/chintai/jnc_000085896443/?bc=100349714296,センチュリー21(株)ジンヤ
ラピス曳舟,東京都墨田区八広１,"築6年
5階建","築6年
5階建",6,9.6,1LDK,30.21,0.3177755710029791,京成押上線/京成曳舟駅 歩9分,9.0,東武伊勢崎線/東向島駅 歩14分,14.0,東武伊勢崎線/曳舟駅 歩14分,14.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,京成曳舟,0,https://suumo.jp/chintai/jnc_000085896442/?bc=100349774009,(株)アブレイズ・コーポレーション東京駅本店
コーポ下島,東京都足立区中川１,"築15年
2階建","築15年
2階建",15,8.2,2DK,37.53,0.2184918731681321,ＪＲ常磐線/亀有駅 歩10分,10.0,京成金町線/京成金町駅 歩28分,28.0,ＪＲ常磐線/金町駅 歩30分,30.0,,0,,0,,0,,0,,0,10.0,0,1,1,0,亀有,1,https://suumo.jp/chintai/jnc_000058956475/?bc=100338891575,大和エステート(株)D-ROOMセンター
つくばエクスプレス 六町駅 3階建 新築,東京都足立区六町３,"新築
3階建",築１年,1,9.3,1SK,35.23,0.2639795628725518,つくばエクスプレス/六町駅 歩5分,5.0,,0.0,,0.0,,0,,0,,0,,0,,0,5.0,0,1,0,0,六町,0,https://suumo.jp/chintai/jnc_000084796453/?bc=100342777673,ちゃおちゃおハウス(株)ナミキ
つくばエクスプレス 浅草駅 6階建 築4年,東京都台東区千束１,"築4年
6階建","築4年
6階建",4,10.8,2K,29.7,0.3636363636363636,つくばエクスプレス/浅草駅 歩5分,5.0,東京メトロ日比谷線/入谷駅 歩9分,9.0,東京メトロ銀座線/田原町駅 歩13分,13.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,浅草,0,https://suumo.jp/chintai/jnc_000076246157/?bc=100349870650,ハウスコム千葉(株)松戸店
GENOVIA押上II,東京都墨田区向島３,"築1年
7階建","築1年
7階建",1,11.1,1K,25.65,0.4327485380116959,東京メトロ半蔵門線/押上駅 歩7分,7.0,東武伊勢崎線/とうきょうスカイツリー駅 歩9分,9.0,東武伊勢崎線/曳舟駅 歩10分,10.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,押上,0,https://suumo.jp/chintai/jnc_000083376007/?bc=100343901325,(株)アインスホーム神田東口支店
ファーストアベニュー,東京都葛飾区お花茶屋１,"築4年
4階建","築4年
4階建",4,10.6,1LDK,43.87,0.2416229769774333,京成本線/お花茶屋駅 歩3分,3.0,京成本線/堀切菖蒲園駅 歩17分,17.0,京成押上線/青砥駅 歩23分,23.0,,0,,0,,0,,0,,0,3.0,0,1,0,0,お花茶屋,0,https://suumo.jp/chintai/jnc_000085912012/?bc=100349802570,リブマックス池袋店(株)リブ・マックス
